pdbid,LigandRmsdMean,LigandRmsdSd,ProteinRmsdMean,ProteinRmsdSd,di1_1-4 EEL_mean,di1_1-4 EEL_sd,di1_1-4 VDW_mean,di1_1-4 VDW_sd,di1_DELTA G gas_mean,di1_DELTA G gas_sd,di1_DELTA G solv_mean,di1_DELTA G solv_sd,di1_DELTA TOTAL_mean,di1_DELTA TOTAL_sd,di1_EDISPER_mean,di1_EDISPER_sd,di1_EEL_mean,di1_EEL_sd,di1_ENPOLAR_mean,di1_ENPOLAR_sd,di1_EPB_mean,di1_EPB_sd,di4_1-4 EEL_mean,di4_1-4 EEL_sd,di4_1-4 VDW_mean,di4_1-4 VDW_sd,di4_DELTA G gas_mean,di4_DELTA G gas_sd,di4_DELTA G solv_mean,di4_DELTA G solv_sd,di4_DELTA TOTAL_mean,di4_DELTA TOTAL_sd,di4_EDISPER_mean,di4_EDISPER_sd,di4_EEL_mean,di4_EEL_sd,di4_ENPOLAR_mean,di4_ENPOLAR_sd,di4_EPB_mean,di4_EPB_sd,index,owner,VDW
6g3f,0.366273695,0.004805136,2.293726936,0.01452648,0,6E-05,0,0,-4.1248,4.35164,4.87214,4.5578,0.7473,1.19146,0,0,-3.9364,4.50008,-0.34568,0.243,5.21782,4.75202,0,6E-05,0,0,-1.1725,1.45428,0.9168,0.93486,-0.2557,1.19548,0,0,-0.98408,1.12502,-0.34568,0.243,1.26248,1.1208,4827,SARVESH,-0.18842
1sow,3.44335376,0.04328456,1.419591066,0.003965304,0,8E-05,0,8E-05,-14.90428,13.16058,14.74404,12.48066,-0.16024,1.58442,0,0,-15.02714,13.5874,-0.31554,0.17138,15.05958,12.60124,0,8E-05,0,8E-05,-3.63392,3.18076,3.2903,2.88728,-0.34362,0.89552,0,0,-3.7568,3.39684,-0.31554,0.17138,3.60584,3.00514,3033,PRADEEP,0.12286
6hxe,1.179659813,0.024511304,1.912128974,0.013987278,0,6E-05,0,4E-05,-33.32586,14.00096,32.4547,12.60072,-0.87114,2.74822,0,0,-33.66516,14.0938,-0.81082,0.32616,33.26554,12.83808,0,6E-05,0,4E-05,-8.07698,4.26516,7.0914,2.77108,-0.98558,2.57244,0,0,-8.41628,3.52346,-0.81082,0.32616,7.9022,3.00116,2269,DIVYAK,0.3393
5nqb,0.827061179,0.020192562,3.539450501,0.037002928,0,4E-05,0,4E-05,-145.20744,51.73508,140.9733,48.31272,-4.23416,4.18978,0,0,-147.43318,52.95156,-0.46456,0.24828,141.43786,48.5253,0,4E-05,0,4E-05,-34.63256,12.20046,33.57336,11.4461,-1.0592,1.90178,0,0,-36.85828,13.2379,-0.46456,0.24828,34.0379,11.65862,3054,PRADEEP,2.22572
4q3f,1.037859364,0.017701022,2.397971285,0.026482479,0,4E-05,0,2E-05,-22.3397,12.56238,22.31242,11.43012,-0.0273,2.52222,0,0,-21.47444,12.82102,-0.74246,0.32006,23.05484,11.64768,0,4E-05,0,2E-05,-6.23392,3.4391,4.70574,2.51806,-1.52816,1.87006,0,0,-5.36862,3.20528,-0.74246,0.32006,5.44818,2.73016,1775,SHRUTI,-0.8653
1gyy,0.726439468,0.018596122,3.562104583,0.053863153,0,4E-05,0,6E-05,14.17694,28.96422,-16.15662,26.38278,-1.9797,3.71666,0,0,15.33736,29.53436,-0.70238,0.41538,-15.45426,26.53964,0,4E-05,0,6E-05,2.67392,7.43268,-4.46314,6.15716,-1.7892,2.9972,0,0,3.83432,7.3836,-0.70238,0.41538,-3.76078,6.30758,4314,SHRUTI,-1.16042
1ygb,0.939330601,0.01723289,2.334225836,0.01098854,0,8E-05,0,2E-05,69.72642,28.98064,-74.08862,26.36742,-4.36218,5.20186,0,0,71.94668,29.35456,-1.31542,0.16784,-72.77316,26.39858,0,8E-05,0,2E-05,15.76642,7.43446,-17.6392,6.0883,-1.87278,2.64504,0,0,17.98666,7.33862,-1.31542,0.16784,-16.3237,6.11702,2674,DIVYAK,-2.22026
6g3i,1.405663966,0.010323015,2.252617105,0.014548587,0,4E-05,0,8E-05,-10.60994,9.5027,10.54706,8.81592,-0.06288,2.09122,0,0,-8.92972,8.81688,-0.67342,0.3732,11.22048,9.10518,0,4E-05,0,8E-05,-3.91262,3.3621,2.00656,1.85678,-1.90606,2.05842,0,0,-2.23244,2.20422,-0.67342,0.3732,2.68002,2.13658,4333,SARVESH,-1.68022
6hgr,1.231223728,0.023091591,3.719547992,0.030333653,0,6E-05,0,6E-05,-9.31378,7.60392,9.11044,6.92306,-0.20334,1.90472,0,0,-7.00656,6.89038,-0.57892,0.36002,9.68936,7.17898,0,6E-05,0,6E-05,-4.05884,3.16648,1.73278,1.4621,-2.32608,2.39062,0,0,-1.75164,1.72258,-0.57892,0.36002,2.31172,1.70636,4892,SHRUTI,-2.30722
1ylr,0.056652544,0.001118058,3.259585763,0.026087198,0,2E-05,0,2E-05,-60.6397,23.28686,48.61262,20.03784,-12.02706,4.63486,0,0,-63.44836,24.5345,-0.82868,0.15072,49.44132,20.09154,0,2E-05,0,2E-05,-13.05346,5.60598,10.43948,4.65638,-2.61394,2.18568,0,0,-15.8621,6.13364,-0.82868,0.15072,11.26818,4.7071,4795,ROHIT,2.8086
